CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Newcastle United,OK,Newcastle United,Premier League,606.1,https://www.transfermarkt.com/newcastle-united/startseite/verein/762
Nottingham Forest,OK,Nottingham Forest,Premier League,520.5,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703
Olympique Lyon,OK,Olympique Lyon,Ligue 1,258.65,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041
Paris Saint-Germain,OK,Paris Saint-Germain,Ligue 1,1360.0,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583
Parma Calcio 1913,OK,Parma Calcio 1913,Serie A,149.23,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130
RB Leipzig,OK,RB Leipzig,Bundesliga,487.95,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826
RC Lens,OK,RC Lens,Ligue 1,203.2,https://www.transfermarkt.com/rc-lens/startseite/verein/826
RC Strasbourg Alsace,OK,RC Strasbourg Alsace,Ligue 1,287.45,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667
Real Madrid,OK,Real Madrid,LaLiga,1460.0,https://www.transfermarkt.com/real-madrid/startseite/verein/418
Real Sociedad,OK,Real Sociedad,LaLiga,278.3,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681
SC Freiburg,OK,SC Freiburg,Bundesliga,211.5,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60
SS Lazio,OK,SS Lazio,Serie A,255.85,https://www.transfermarkt.com/lazio-rom/startseite/verein/398
SSC Napoli,OK,SSC Napoli,Serie A,432.5,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195
Sevilla FC,OK,Sevilla FC,LaLiga,169.1,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Stade Rennais FC,OK,Stade Rennais FC,Ligue 1,233.3,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273
Sunderland AFC,OK,Sunderland AFC,Premier League,421.28,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289
TSG 1899 Hoffenheim,OK,TSG 1899 Hoffenheim,Bundesliga,280.95,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533
Tottenham Hotspur,OK,Tottenham Hotspur,Premier League,824.0,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148
Udinese Calcio,OK,Udinese Calcio,Serie A,151.3,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410
Valencia CF,OK,Valencia CF,LaLiga,149.1,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049
VfB Stuttgart,OK,VfB Stuttgart,Bundesliga,379.7,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79
Villarreal CF,OK,Villarreal CF,LaLiga,331.6,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050
1.FSV Mainz 05,OK,1.FSV Mainz 05,Bundesliga,165.2,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39
AC Monza,OK,AC Monza,Serie A,103.45,https://www.transfermarkt.com/ac-monza/startseite/verein/2919
Angers SCO,OK,Angers SCO,Ligue 1,64.0,https://www.transfermarkt.com/sco-angers/startseite/verein/1420
Borussia Mönchengladbach,OK,Borussia Mönchengladbach,Bundesliga,138.55,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18
CA Osasuna,OK,CA Osasuna,LaLiga,77.9,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331
Cagliari Calcio,OK,Cagliari Calcio,Serie A,121.15,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390
Coventry City,OK,Coventry City,Premier League,296.7,https://www.transfermarkt.com/coventry-city/startseite/verein/990
Deportivo Alavés,OK,Deportivo Alavés,LaLiga,66.7,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108
ESTAC Troyes,OK,ESTAC Troyes,Ligue 1,40.28,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095
Elche CF,OK,Elche CF,LaLiga,74.0,https://www.transfermarkt.com/fc-elche/startseite/verein/1531
FC Lorient,OK,FC Lorient,Ligue 1,90.05,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158
FC Schalke 04,OK,FC Schalke 04,Bundesliga,70.93,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33
FC Toulouse,OK,FC Toulouse,Ligue 1,110.9,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415
Frosinone Calcio,OK,Frosinone Calcio,Serie A,94.2,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970
Genoa CFC,OK,Genoa CFC,Serie A,169.0,https://www.transfermarkt.com/genua-cfc/startseite/verein/252
Getafe CF,OK,Getafe CF,LaLiga,92.3,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709
Hamburger SV,OK,Hamburger SV,Bundesliga,152.8,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41
Hull City,OK,Hull City,Premier League,251.9,https://www.transfermarkt.com/hull-city/startseite/verein/3008
LASK,OK,LASK,Bundesliga,51.05,https://www.transfermarkt.com/lask/startseite/verein/413
Le Havre AC,OK,Le Havre AC,Ligue 1,61.95,https://www.transfermarkt.com/ac-le-havre/startseite/verein/738
Le Mans FC,OK,Le Mans FC,Ligue 1,27.55,https://www.transfermarkt.com/le-mans-fc/startseite/verein/1164
Levante UD,OK,Levante UD,LaLiga,86.9,https://www.transfermarkt.com/ud-levante/startseite/verein/3368
Málaga CF,OK,Málaga CF,LaLiga,55.35,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084
OGC Nice,OK,OGC Nice,Ligue 1,139.6,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417
Olympique Marseille,OK,Olympique Marseille,Ligue 1,181.85,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244
Paris FC,OK,Paris FC,Ligue 1,173.2,https://www.transfermarkt.com/paris-fc/startseite/verein/10004
RCD Espanyol Barcelona,OK,RCD Espanyol Barcelona,LaLiga,127.8,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714
Racing Santander,OK,Racing Santander,LaLiga,107.5,https://www.transfermarkt.com/racing-santander/startseite/verein/630
Rayo Vallecano,OK,Rayo Vallecano,LaLiga,86.85,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367
Real Betis Balompié,OK,Real Betis Balompié,LaLiga,254.6,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150
Red Bull Salzburg,OK,Red Bull Salzburg,Bundesliga,100.05,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409
SC Paderborn 07,OK,SC Paderborn 07,Bundesliga,48.38,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127
SK Sturm Graz,OK,SK Sturm Graz,Bundesliga,60.43,https://www.transfermarkt.com/sk-sturm-graz/startseite/verein/122
SV Werder Bremen,OK,SV Werder Bremen,Bundesliga,122.08,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86
